Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,ParID,Country,Men,Z_Age,Z_Income,Financial_Situation,Bill_Payments,Education,Loss_Awareness,Loss_Intuition
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Bulgaria,1.0,-0.705817939096481,-0.286658818920227,little_better,payed_some_save,undergraduate,0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,Bulgaria,0.0,0.5312366441819592,-0.028555062765223654,little_worse,payed_no_save,postgraduate,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,Bulgaria,0.0,0.9118688236522484,-0.20062423353522585,unchanged,payed_spend_free,postgraduate,0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3,Bulgaria,1.0,0.7215527339171037,-0.3235184934301724,little_better,payed_some_save,postgraduate,1,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4,Bulgaria,0.0,1.38765904799011,-0.29894947397522714,little_better,payed_spend_free,postgraduate,1,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,Bulgaria,0.0,2.3392394966658334,0.14351410800477854,unchanged,payed_no_save,postgraduate,1,0.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,Bulgaria,0.0,0.9118688236522484,-0.21291488859022603,little_worse,failed_to_pay,undergraduate,0,0.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,Bulgaria,0.0,0.6263946890495314,0.16809541811477888,unchanged,payed_no_save,postgraduate,0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8,Bulgaria,0.0,-0.13486966989104715,-0.2952622774587271,little_worse,payed_no_save,postgraduate,0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,9,Bulgaria,0.0,0.24576250957924214,0.41390851921478194,little_better,payed_some_save,postgraduate,0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,10,Bulgaria,0.0,0.7215527339171037,-0.22520554364522619,little_worse,payed_no_save,postgraduate,0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,11,Bulgaria,1.0,1.673133182592827,-0.05313637287522397,unchanged,payed_no_save,postgraduate,0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12,Bulgaria,1.0,0.7215527339171037,-0.17604292342522554,unchanged,payed_no_save,postgraduate,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,13,Bulgaria,0.0,1.2925010031225377,-0.13917095826022507,unchanged,payed_no_save,undergraduate,1,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,14,Bulgaria,0.0,1.38765904799011,-0.23749619870022634,little_worse,payed_no_save,postgraduate,1,0.0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,Bulgaria,0.0,1.38765904799011,0.04518886756477729,unchanged,payed_some_save,postgraduate,0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,16,Bulgaria,0.0,1.2925010031225377,-0.17604292342522554,unchanged,payed_no_save,postgraduate,0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,Bulgaria,0.0,-0.03971162502347483,-0.07771768298522429,unchanged,payed_spend_free,postgraduate,1,0.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,Bulgaria,1.0,-1.2767662083019151,-0.30964234387307726,much_worse,debt_to_pay,basic,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19,Bulgaria,1.0,0.7215527339171037,-0.13917095826022507,little_worse,failed_to_pay,postgraduate,1,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20,Bulgaria,0.0,-0.3251857596261918,0.13122345294977839,unchanged,payed_no_save,undergraduate,1,0.0
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,21,Bulgaria,0.0,0.7215527339171037,-0.32328497098412745,unchanged,payed_no_save,postgraduate,1,0.0
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,22,Bulgaria,1.0,-1.1816081634343427,-0.30263667049172716,little_better,payed_some_save,basic,1,0.0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,23,Bulgaria,0.0,0.5312366441819592,-0.2620775088102266,much_worse,failed_to_pay,vocational,1,0.0
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,24,Bulgaria,1.0,1.673133182592827,-0.20062423353522585,little_worse,failed_to_pay,undergraduate,0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,Bulgaria,1.0,-0.5155018493613365,-0.1022989930952246,little_better,payed_no_save,postgraduate,0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26,Bulgaria,1.0,2.4343975415334054,-0.07771768298522429,little_better,payed_spend_free,postgraduate,1,0.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,27,Bulgaria,0.0,-1.3719242531694873,-0.32353078408522745,little_better,payed_no_save,basic,1,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,28,Bulgaria,1.0,0.4360785993143868,-0.07771768298522429,unchanged,payed_some_save,undergraduate,0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,29,Bulgaria,0.0,-1.0864501185667703,0.04518886756477729,much_worse,failed_to_pay,undergraduate,1,0.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30,Bulgaria,0.0,-1.0864501185667703,-0.27436816386522683,little_better,debt_to_pay,basic,1,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,31,Bulgaria,1.0,-0.6106598942289088,-0.3050948015027272,little_better,payed_no_save,postgraduate,0,1.0
0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32,Bulgaria,1.0,-0.13486966989104715,0.020607557454776975,much_better,payed_spend_free,postgraduate,0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,33,Bulgaria,1.0,-0.5155018493613365,-0.05313637287522397,little_better,payed_spend_free,postgraduate,0,1.0
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,35,Bulgaria,0.0,-0.42034380449376413,-0.07771768298522429,little_better,payed_no_save,postgraduate,1,0.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,36,Bulgaria,1.0,0.24576250957924214,-0.1022989930952246,much_better,payed_no_save,postgraduate,0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,37,Bulgaria,0.0,-0.991292073699198,-0.32353078408522745,unchanged,payed_no_save,undergraduate,1,0.0
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,38,Bulgaria,1.0,2.1489234069306886,-0.20062423353522585,little_better,payed_some_save,vocational,0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,39,Bulgaria,1.0,-0.705817939096481,-0.07771768298522429,little_worse,payed_no_save,postgraduate,1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,40,Bulgaria,1.0,-0.23002771475861947,-0.028555062765223654,much_better,payed_spend_free,postgraduate,0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,41,Bulgaria,0.0,-0.23002771475861947,-0.29280414644772707,unchanged,payed_some_save,postgraduate,0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,42,Bulgaria,0.0,0.5312366441819592,0.08206083272977777,unchanged,payed_spend_free,postgraduate,1,0.0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,43,Bulgaria,1.0,-0.8009759839640535,-0.2497868537552265,little_better,payed_some_save,undergraduate,0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,44,Bulgaria,0.0,3.1005038556064117,0.04518886756477729,little_worse,payed_no_save,postgraduate,1,0.0
