prop,lb,ub,p-value,Item,Succesful Replication
0.24135794680539874,0.21127097539115816,0.2742398136173277,6.539006857698974e-39,1,Yes
0.6148197438647547,0.5865427273755647,0.6423420959298786,7.730740309768299e-15,2,Yes
0.1239183336392268,0.1061349002431722,0.144200776331423,2.3771831908705007e-106,3,Yes
0.5096951620856014,0.4789938336856372,0.5403235297173183,0.5360875772991238,4,No
0.10288634034043077,0.08292238962931138,0.12699114298580705,2.691424065969415e-71,5,Yes
0.6533492324262702,0.6345778460266913,0.6716552844959711,5.604790675496723e-52,6,Yes
0.7963216945197061,0.7757735414170294,0.8154348065788515,6.482893788247641e-106,7,Yes
0.5031766065014235,0.4780040402228761,0.5283330793661074,0.804755367793575,8,NA
0.7954575973156486,0.7740083259140298,0.815356727023388,1.8609887940090434e-97,9,Yes
0.42933071726453137,0.40123151172871097,0.45789291089172857,1.4457909748943345e-06,10,Yes
0.157579506654978,0.1369258164162064,0.1806963237569674,1.5781546049403057e-88,11,Yes
0.2495481756100254,0.22420310837600013,0.27673634948829395,2.2484089830631345e-53,12,Yes
0.6157623550098554,0.5848586799983332,0.6457589078543493,7.300816936600419e-13,13,Yes
0.17655427646888247,0.15571178469147645,0.19952728904581074,2.5662501029629523e-89,14,Yes
0.6153665103955412,0.5928501504818862,0.6373992598580474,1.359308599380622e-22,15,Yes
0.5760242200388879,0.5367634966680624,0.6143481822471092,0.00016052378911727877,16,Yes
0.4307394551455795,0.4006845253234815,0.46131349412978556,1.0092550927558002e-05,17,Yes
